habitatID,habitatLevel,habitatType,habitatDetails
F5.5C2,5,Humid Andalusian [monte negro],"Formations of semi-peaty edges of freshwater lagoons and depressions where the winter and spring water table reaches the surface, with [Ulex minor var. lusitanicus], [Erica ciliaris], [Erica scoparia], [Calluna vulgaris], [Genista anglica], [Molinia caerulea], [Pteridium aquilinum], [Cistus salvifolius]."
F6,2,Garrigue,"Evergreen sclerophyllous or lauriphyllous shrub vegetation, with an open canopy structure and some bare ground, usually with many winter annuals and vernal geophytes. Low shrubs of [Cistus], [Lavandula], [Rosmarinus] and [Stoechas] are usually present, and there may be some larger shrubs and scattered trees. Garrigue is found mostly in the Mediterranean, Macaronesian and Pontic regions, where it typically derives from degradation or regrowth of broad-leaved evergreen forests (G2), but it extends into deciduous forest areas in the supra-Mediterranean zone and sub-Mediterranean zones and into steppe areas in Anatolia. Includes scrubby land with mainly herbaceous vegetation and a large component of unpalatable non-vernal monocots ([Asphodelus], [Urginea]) and thistles, provided that shrub cover exceeds 10%."
F6.1,3,Western garrigues,"Shrubby formations, often low, on mostly calcareous soils of the meso-mediterranean zone of the Iberian peninsula, France, Italy and the large western Mediterranean islands, notably the Balearics, Corsica, Sardinia, Sicily and Malta. Included here are those formations that reach their optimal development within the meso-mediterranean zone although they often enter the thermo- or supra-mediterranean levels."
F6.11,4,Western kermes oak garrigues,"Shrubby formations of the western Mediterranean basin, usually relatively closed and tall, dominated by [Quercus coccifera] with no, or little, [Pistacia lentiscus] or other thermo-Mediterranean shrubs, very widespread in the meso-Mediterranean zone of the Iberian peninsula and southern France."
F6.12,4,Western rosemary garrigues,"Shrubby formations of the western Mediterranean basin, usually relatively tall, dominated by [Rosmarinus officinalis]. "
F6.13,4,Western cistus garrigues,"Shrubby formations of the western Mediterranean basin, mostly meso-Mediterranean, but often also thermo- or supra-Mediterranean, dominated by the low, calciphilous [Cistus albidus] or [Cistus clusii], or occasionally by indifferent species, usually accompanied by a more varied flora than that of the silicicolous cistus maquis, though sometimes capable of forming dense cistus fields. These can be identified by use of digit 1 in the fourth decimal place, digit 2 being reserved for more varied formations. "
F6.14,4,Western spurge garrigues,Shrubby formations of the western Mediterranean basin dominated by bushy or robust perennial [Euphorbia] species.
F6.15,4,Western prostrate juniper ([Juniperus oxycedrus]) garrigues,"Meso-Mediterranean garrigues of the western Mediterranean basin dominated by [Juniperus oxycedrus] or other low, shrubby junipers."
F6.16,4,Western lavender garrigues,"Meso-, or sometimes thermo-, mediterranean garrigues of the western Mediterranean basin rich in calciphile [Lavandula latifolia] or, occasionally, [Lavandula angustifolia]; almost pure fields of [Lavandula latifolia] may form, in particular, as a facies of calcareous grasslands."
F6.17,4,Western garrigues dominated by sage and other labiates,Garrigues of the western Mediterranean basin of which the main components are labiate shrubs or robust perennials (except [Lavandula] and [Rosmarinus]).
F6.18,4,Western genista garrigues,"Shrubby formations of the western Mediterranean basin characterized by the abundance of small, spiny brooms such as [Genista scorpius], [Genista hispanica], [Genista corsica], [Genista lucida]."
F6.19,4,Western calicotome garrigues,Meso-Mediterranean shrubby formations of the western Mediterranean basin dominated by [Calicotome spinosa].
F6.1A,4,Western composite garrigues,Meso-Mediterranean shrubby formations of the western Mediterranean basin dominated by members of various genera of the family Asteraceae. 
F6.1B,4,Western erica garrigues,Meso-Mediterranean shrubby formations of the western Mediterranean basin dominated by the calciphile heathers [Erica multiflora] or [Erica manipuliflora].
F6.1C,4,Western globularia garrigues,Shrubby formations of the western Mediterranean basin dominated by [Globularia alypum].
F6.1D,4,Western rock-rose and fumana garrigues,"Shrubby formations of the western Mediterranean basin dominated by small or dwarf shrubs of the genera [Helianthemum] (e.g. [Helianthemum asperum], [Helianthemum pilosum], [Helianthemum oelandicum], [Helianthemum marifolium], [Helianthemum cinereum], [Helianthemum lavandulifolium], [Helianthemum nummularium], [Helianthemum caput-felis]) or [Fumana] (e.g. [Fumana ericoides], [Fumana laevipes], [Fumana thymifolia]). "
F6.1E,4,[Lithodora fruticosa] garrigues,"Shrubby formations of the western Mediterranean basin dominated by [Lithodora fruticosa], distributed in Spain and southern France. "
F6.1F,4,Western thymelaea garrigues,"Meso-Mediterranean shrubby formations of the western Mediterranean basin rich in shrubs of genus [Thymelaea] (e.g. [Thymelaea tinctoria], [Thymelaea nitida], [Thymelaea pubescens]). "
F6.1G,4,Western shrubby hare's ear ([Bupleurum]) garrigues,"Often tall, sometimes very tall, dense shrubby formations of the western Mediterranean basin dominated by [Bupleurum fruticosum]."
F6.1H,4,Western gorse garrigues,Meso-Mediterranean shrubby formations of the western Mediterranean basin dominated by [Ulex parviflorus].
F6.1I,4,Western shrubby restharrow ([Ononis fruticosa]) garrigues,"Shrubby formations of the western Mediterranean basin dominated by [Ononis fruticosa], limited to Iberia."
F6.1J,4,Western [Anthyllis cytisoides] garrigues,Shrubby formations of the western Mediterranean basin dominated by [Anthyllis cytisoides].
F6.1K,4,Western burning bush ([Dictamnus]) garrigues,"Shrubby formations of the western Mediterranean basin dominated by [Dictamnus albus] ([Dictamnus hispanicus]), characteristic of stony terrains of eastern Spain. "
F6.2,3,Eastern garrigues,"Shrubby formations, often low, of the meso-, thermo- and occasionally supramediterranean zones of Greece, southern Albania, Cyprus and southern Anatolia. Included here are all sclerophyllous formations, regardless of substrate, except those with conspicuous spiny cushion structure (F7), those with abundant thermo-Mediterranean scrub species (F5.5) and high maquis with [Erica arborea] and [Arbutus] spp. (F5.2)."
F6.21,4,Eastern kermes oak garrigues,"Shrub communities of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland, usually relatively closed and tall, dominated by [Quercus coccifera] with no, or little, [Pistacia lentiscus] or other thermo-mediterranean shrubs; kermes oak garrigues are by far the most widespread xerophyllous shrub formations in the eastern meso-mediterranean zone. They are also well represented in the supra-Mediterranean and thermo-Mediterranean zones. Formations pertaining to the latter, when rich in other, more restrictively thermophile shrubs, have been listed as unit F5.5173."
F6.22,4,Eastern rosemary garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland, usually relatively tall, dominated by [Rosmarinus officinalis]. "
F6.23,4,Eastern cistus garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by or rich in [Cistus] species. Dense cistus fields can be identified by use of digit 1 in the fourth decimal place, digit 2 being reserved for more varied formations. "
F6.24,4,Eastern spurge garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by bushy or robust perennial [Euphorbia] species."
F6.25,4,Eastern prostrate juniper ([Juniperus oxycedrus]) garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by low, shrubby [Juniperus oxycedrus], [Juniperus communis] or [Juniperus phoenicea]."
F6.26,4,Eastern lavender garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland rich in [Lavandula stoechas] or, occasionally, [Lavandula angustifolia]. "
F6.27,4,Eastern garrigues dominated by sage and other labiates,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland of which the main components are labiate shrubs or robust perennials (except [Lavandula] and [Rosmarinus])."
F6.271,5,Eastern tree germander garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by the tall or very tall [Teucrium fruticans]."
F6.272,5,Jerusalem sage garrigues,"Fairly tall garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by [Phlomis fruticosa]. Very degraded habitats occupied by almost monospecific fields of this species can be listed under E1.C. "
F6.273,5,Eastern [Salvia] and [Stachys] garrigues,"Fairly tall garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by shrubs or woody perennials of genera [Salvia] (e.g. [Salvia triloba], [Salvia argentea], [Salvia eichlerana], [Salvia pomifera]), [Stachys] (e.g. [Stachys cretica]) or others."
F6.274,5,Eastern dwarf labiate garrigues,"Low, open garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland formed by dwarf shrubs or perennials of genera [Thymus] (e.g. [Thymus capitatus], [Thymus teucrioides], [Thymus atticus], [Thymus sibthorpii], [Thymus striatus], [Thymus comptus]), [Teucrium] (e.g. [Teucrium polium]), [Sideritis] (e.g. [Sideritis syriaca], [Sideritis clandestina]), [Micromeria] (e.g. [Micromeria juliana], [Micromeria graeca]), [Phlomis] (e.g. [Phlomis cretica], [Phlomis floccosa], [Phlomis lanata]) or others. "
F6.28,4,Eastern Christ's thorn garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by [Paliurus spina-christi]. "
F6.29,4,Eastern broom garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland characterized by the abundance of broom-like shrubs of genera [Genista], [Chamaecytisus], [Teline] or others."
F6.2A,4,[Ebenus cretica] brushes,Garrigues of Crete dominated by [Ebenus cretica].
F6.2B,4,Eastern curry-plant [Helichrysum] and other composite garrigues,"Usually low, open garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland formed by dwarf, shrubby composites of genera [Helichrysum], [Phagnalon] ([Phagnalon graecum]), [Scorzonera]. "
F6.2C,4,Eastern [Erica] garrigues,"Mesomediterranean garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by the heather [Erica manipuliflora]."
F6.2D,4,Cyprus strawberry tree ([Arbutus]) garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland characterized by their richness in low bushes of [Arbutus andrachne]."
F6.2E,4,Eastern shrubby globularia garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by [Globularia alypum]."
F6.2F,4,Eastern rock-rose and fumana garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland dominated by small or dwarf shrubs of the genera [Helianthemum] or [Fumana]."
F6.2G,4,Eastern thymelaea garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland rich in shrubs of genus [Thymelaea] (e.g. [Thymelaea tartonraira])."
F6.2H,4,Eastern shrubby hare's ear garrigues,"Garrigues of the eastern Ionian, Aegean and eastern Mediterranean coastlands and hinterland, dense and often tall, sometimes very tall, dominated by [Bupleurum fruticosum]."
F6.2I,4,East Mediterranean pre-desert scrub,"Low formations of [Ziziphus spina-christi], [Ziziphus lotus], [Acacia albida], [Capparis spinosa], [Rhamnus palaestina], [Rhus tripartita] of the Levant and southern Anatolia."
F6.3,3,Illyrian garrigues,"Shrubby formations, often low, of the meso- and occasionally supra-Mediterranean zones of the Adriatic lowlands of the Balkan peninsula from Istria to southern Albania. Included here are all sclerophyllous formations, regardless of substrate, except high maquis (F5.2) with [Erica arborea] and [Arbutus] spp."
F6.31,4,Illyrian kermes oak garrigues,"Garrigues of the Adriatic lowlands of the Balkan peninsula dominated by [Quercus coccifera], of limited distribution."
F6.32,4,Illyrian rosemary garrigues,"[Rosmarinus officinalis]-dominated communities of the Dalmatian coast and its islands, in particular, Hvar, Brac, Solta, Vis."
F6.33,4,Illyrian cistus garrigues,"Garrigues of the Adriatic lowlands of the Balkan peninsula dominated by [Cistus incanus ssp. creticus], [Cistus monspeliensis] or [Cistus salvifolius]."
